Sample identifier,Sample Name,formation,minerology,composite height,d13C ,d18O,Through Rad Sr Columns,Through Stable Sr Columns,rsWheel Number,rsDate,rsSample mass for analysis (600 ng Sr),87/86Sr,rsInternal Precision,rsRep 1 Wheel #,rsRep 1 date,rsRep1 87/86Sr,rsRep 1 internal precision,rsRep 2 Wheel #,rsRep 2 date,rsRep 2 88/86,rsRep 2 internal precision,,,,ssSample mass for analysis,ssSpike mass for analysis,,Wheel #,Date run on TIMS,88/86Sr,Internal Precision,,Rep 1 Wheel #,ssRep 1 date,ssRep 1 ,ssRep 1 internal precision,,CaSample mass for analysis (g) ,Ca spike mass (g),thru columns w Tia,Wheel #,Date run on TIMS,44/40Ca,Internal Precision,,Rep 1 Wheel #,CaRep 1 date,CaRep 1 ,CaRep 1 internal precision,Sr ppm,Ca ppm,Mg ppm,Mn ppm,SrCa (ppm/ppm),Mn/Sr (ppm/ppm),d44 higgins,Primary minerology,Sr/Ca (mmol/mol),Mg/Ca (mmol/mol),Mn/Ca (Î¼mol/mol),Mn/Sr (mmol/mmol),Mountain composite height
S113102C-02,,Doushantuo,dolostone,,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.424,,,,,,,
S113102C-03,,Doushantuo,dolostone,,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.411,,,,,,,
S113106-01,,Doushantuo,dolostone,,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282,,,,,,,
S113106-02,,Doushantuo,dolostone,,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254,,,,,,,
S113111-01,,Doushantuo,dolostone,,4.71,,,,,,,0.707982,,,,,,,,,,,,,,,,,,0.430,,,,,,,,,,,,,,,,,,,,,,,,,0.237,,,,,,,
S113202C-01,,Doushantuo,dolostone,,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.720,,,,,,,
S113202C-02,,Doushantuo,dolostone,,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.502,,,,,,,
S113305-01,,Doushantuo,dolostone,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.863,,,,,,,
S113305-02,,Doushantuo,dolostone,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649,,,,,,,
S113305-03,,Doushantuo,dolostone,,-0.93,,,,,,,0.708284,,,,,,,,,,,,,,,,,,0.420,,,,,,,,,,,,,,,,,,,,,,,,,0.770,,,,,,,
S113309-01,,Doushantuo,dolostone,,-3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.450,,,,,,,
S113408-01,,Doushantuo,dolostone,,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.452,,,,,,,
S113419-01,,Doushantuo,dolostone,,3.31,,,,,,,0.708091,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,0.479,,,,,,,
S113429-01,,Doushantuo,dolostone,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398,,,,,,,
S113429-02,,Doushantuo,dolostone,,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337,,,,,,,
S113502-01,,Doushantuo,dolostone,,4.97,,,,,,,0.708062,,,,,,,,,,,,,,,,,,0.440,,,,,,,,,,,,,,,,,,,,,,,,,0.251,,,,,,,
S113613-01,,Doushantuo,dolostone,,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.663,,,,,,,
S113708-01,,Doushantuo,dolostone,,4.47,,,,,,,0.708189,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,0.541,,,,,,,
S113708-02,,Doushantuo,dolostone,,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.502,,,,,,,
S113806-01,,Doushantuo,dolostone,,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.418,,,,,,,
S113806-02,,Doushantuo,dolostone,,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.401,,,,,,,
S114005A-01,,Doushantuo,dolostone,,5.87,,,,,,,0.708295,,,,,,,,,,,,,,,,,,0.330,,,,,,,,,,,,,,,,,,,,,,,,,0.217,,,,,,,
S114005A-02,,Doushantuo,dolostone,,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,
S114005A-03,,Doushantuo,dolostone,,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459,,,,,,,
S114005A-04,,Doushantuo,dolostone,,6.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264,,,,,,,
S114017-01,,Doushantuo,dolostone,,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.690,,,,,,,
S114017-02,,Doushantuo,dolostone,,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.841,,,,,,,
S114104B-01,,Doushantuo,dolostone,,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303,,,,,,,
S114104B-02,,Doushantuo,dolostone,,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302,,,,,,,
S114212-01,,Doushantuo,dolostone,,5.96,,,,,,,0.708109,,,,,,,,,,,,,,,,,,0.370,,,,,,,,,,,,,,,,,,,,,,,,,0.256,,,,,,,
S114212-02,,Doushantuo,dolostone,,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.424,,,,,,,
S114212-03,,Doushantuo,dolostone,,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.484,,,,,,,
S114305-01,,Doushantuo,dolostone,,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.484,,,,,,,
S114419G-01,,Doushantuo,dolostone,,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.710,,,,,,,
S114419G-02,,Doushantuo,dolostone,,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.766,,,,,,,
S114522-01,,Doushantuo,dolostone,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.442,,,,,,,
S114523B-01,,Doushantuo,limestone,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.348,,,,,,,
S114523B-02,,Doushantuo,dolostone,,5.07,,,,,,,0.70794,,,,,,,,,,,,,,,,,,0.400,,,,,,,,,,,,,,,,,,,,,,,,,0.630,,,,,,,
S114608-01,,Doushantuo,limestone,,0.28,,,,,,,0.708677,,,,,,,,,,,,,,,,,,0.170,,,,,,,,,,,,,,,,,,,,,,,,,0.957,,,,,,,
S114705-01,,Doushantuo,limestone,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.804,,,,,,,
S114705-02,,Doushantuo,limestone,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.272,,,,,,,
S114712A-01,,Doushantuo,limestone,,-0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.405,,,,,,,
,,KD,Dolostone,,4.34,-4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8555966,,,,,,,,,,,234.921767,1.82,,,0.234921767,1018.770691,427.0214315,,
,,KD,Dolostone,,4.1,-3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4676149,,,,,,,,,,,,1.51,,,0.137306056,1016.080709,207.0128539,,
,,KD,Dolostone,,4.45,-4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5526331,,,,,,,,,,,,4.66,,,0.152821385,1026.115464,711.5636993,,
,,KD,Dolostone,,2.43,-1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6672457,,,,,,,,,,,,0.61,,,0.323772413,1023.980677,197.5460092,,
,,KD,Dolostone,,1.48,-2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6757598,,,,,,,,,,,,2.16,,,0.266394808,1017.86579,574.1879791,,
,,KD,Dolostone,,1.09,-5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8260962,,,,,,,,,,,,4.66,,,0.213177622,1018.807076,993.3545064,,
,,KD,Dolostone,,1.38,-2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7763239,,,,,,,,,,,,3.54,,,0.376776855,1010.621326,1332.226963,,
,,KD,Dolostone,,1.62,-3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9403696,,,,,,,,,,,,1.42,,,0.340288227,987.0849967,483.5931365,,
,,KD,Dolostone,,-1.04,-4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8517321,,,,,,,,,,,,3.87,,,0.586187554,965.653903,2266.436929,,
,,KD,Dolostone,,-3.67,-6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7654897,,,,,,,,,,,,6.36,,,0.191996095,543.2503218,1221.120202,,
,,KD,Limestone,,-10.2,-8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9718789,,,,,,,,,,,,11.97,,,0.206188508,12.00497056,2468.903723,,
,,KD,Limestone,,-10.15,-8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8726104,,,,,,,,,,,,7.49,,,0.222213646,17.98790259,1664.376841,,
,,KD,Limestone,,-9.89,-8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9730623,,,,,,,,,,,,6.51,,,0.280070064,17.97296989,1823.338683,,
,,KD,Limestone,,-10.04,-8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9625608,,,,,,,,,,,,8.16,,,0.24307381,16.55273691,1983.519983,,
,,KD,Dolostone,,7.59,-2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3536591,,,,,,,,,,,,4.41,,,0.334421006,1012.447185,1475.183214,,
,,MD,Limestone,,4.59,-9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1115843,,,,,,,,,,,,0.94,,,0.284827328,59.8659173,268.6643807,,
,,MD,Limestone,,3.28,-9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2638442,,,,,,,,,,,,0.07,,,0.427902941,7.974369472,29.96465234,,
,,MD,Dolostone,,3.89,-5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0795884,,,,,,,,,,,,2.29,,,0.452007371,930.5963755,1033.498883,,
,,MD,Dolostone,,4.6,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0693075,,,,,,,,,,,,18.24,,,0.05359705,979.3354988,977.6551989,,
,,MD,Dolostone,,6.23,-3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0751111,,,,,,,,,,,,0.66,,,0.365287002,1000.864192,240.5912625,,
,,MD,Dolostone,,3.61,-4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0607878,,,,,,,,,,,,1.17,,,0.189304147,1004.798225,222.2957572,,
,,MD,Dolostone,,4.47,-4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4211204,,,,,,,,,,,180.360416,0.39,,,0.180360416,1009.363775,69.77308505,,
,,MD,Dolostone,,2.71,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3769001,,,,,,,,,,,,1.82,,,0.290269094,969.8556086,527.1184595,,
,,MD,Dolostone,,2.35,-4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6811635,,,,,,,,,,,,1.87,,,0.259047459,665.0070722,484.9595202,,
,,MD,Dolostone,,2.49,-2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3183646,,,,,,,,,,,,2.16,,,0.245857713,1022.37303,530.6044756,,
,,MD,Dolostone,,5.46,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6249336,,,,,,,,,,,,0.72,,,0.322987237,1034.350806,231.0632681,,
,,MD,Dolostone,,4.35,-1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7357475,,,,,,,,,,,,0.34,,,0.340234786,994.8070015,114.4621217,,
,,MD,Dolostone,,5.74,-3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6732329,,,,,,,,,,,,0.24,,,0.512225368,1018.484185,121.768458,,
,,MD,Dolostone,,4.2,-2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5644583,,,,,,,,,,,,0.95,,,0.313777743,1018.974366,297.054357,,
,,MD,Dolostone,,2.21,-2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6320763,,,,,,,,,,,,2.53,,,0.289321169,989.7502807,733.1330259,,
,,MD,Dolostone,,5.03,-6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4944573,,,,,,,,,,,,0.56,,,0.433901221,1000.513079,243.9735655,,
,,MD,Dolostone,,5.29,-6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3369618,,,,,,,,,,,,0.55,,,0.374766715,991.6137155,205.2472025,,
,,MD,Dolostone,,-0.17,-7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9555686,,,,,,,,,,,,1.41,,,0.233916303,607.5799935,329.8858827,,
,,MD,Dolostone,,2,-5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.815917,,,,,,,,,,,,2.46,,,0.305511987,761.4963717,752.0671386,,
,,MD,Dolostone,,-0.12,-6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6740057,,,,,,,,,,,,7.95,,,0.322638817,997.5885656,2565.125276,,
,,MD,Dolostone,,0.38,-6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.766409,,,,,,,,,,,,8.37,,,0.206196765,1017.381358,1724.967235,,
,,MD,Dolostone,,1.05,-6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6402545,,,,,,,,,,,,0.54,,,0.433563562,1017.253758,236.1105291,,
,,MD,Dolostone,,-0.21,-5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6712787,,,,,,,,,,,,2.76,,,0.611957375,981.5313213,1687.043911,,
,,MD,Dolostone,,-5.38,-6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6773551,,,,,,,,,,,,4.29,,,0.685338997,971.2999919,2941.942161,,
,,MD,Dolostone,,-8.63,-6.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.844158,,,,,,,,,,,,2.20,,,0.725632157,979.3806474,1597.667502,,
,,MD,Limestone,,-12.02,-8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9652022,,,,,,,,,,,,27.26,,,0.191124763,15.50901309,5210.199749,,
,,MD,Limestone,,-11.88,-8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9552698,,,,,,,,,,,,10.98,,,0.367678198,13.50116107,4036.455905,,
,,MD,Limestone,,-11.9,-8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9462062,,,,,,,,,,,,22.13,,,0.233373046,13.91096001,5163.496514,,
,,MD,Limestone,,-11.23,-8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9095945,,,,,,,,,,,,34.30,,,0.210372857,13.91011925,7214.899685,,
,,MD,Limestone,,-10.18,-8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0091296,,,,,,,,,,,,11.18,,,0.23784022,13.41200754,2660.120621,,
,,MD,Limestone,,-9.86,-8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9266984,,,,,,,,,,,,7.72,,,0.274962906,16.05804127,2122.212847,,
,,MD,Limestone,,-9.82,-8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9067893,,,,,,,,,,,,7.50,,,0.280694963,13.66999698,2104.617562,,
,,MD,Limestone,,-9.75,-8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8983915,,,,,,,,,,,,8.89,,,0.244343581,15.03098347,2171.350753,,
,,MD,Limestone,,-11.03,-8.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9800995,,,,,,,,,,,,34.34,,,0.202905113,11.38866225,6968.266931,,
,,MD,Limestone,,-9.95,-8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9354637,,,,,,,,,,,,9.83,,,0.258205938,19.66922201,2536.997794,,
,,MD,Limestone,,-9.73,-8.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8938938,,,,,,,,,,,,3.87,,,0.289956685,18.13095291,1123.081247,,
,,MD,Limestone,,-8.91,-8.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7508554,,,,,,,,,,,,2.35,,,0.646818597,15.51326,1517.748655,,
,,MD,Limestone,,-8.85,-9.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8699483,,,,,,,,,,,,7.69,,,0.220948778,10.0730415,1698.760146,,
,,MD,Limestone,,-7.51,-8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8118009,,,,,,,,,,,,2.12,,,0.402627491,19.65704712,853.5373182,,
,,MD,Limestone,,-8.89,-7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9636084,,,,,,,,,,,,1.96,,,1.011091724,43.19725875,1985.104946,,
,,MD,Limestone,,-7.94,-7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2182144,,,,,,,,,,,,1.43,,,1.052869834,37.65651105,1509.675099,,
,,MD,Limestone,,-7.71,-7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1206394,,,,,,,,,,,,1.87,,,1.078384687,12.582532,2011.578842,,
,,MD,Limestone,,-6.84,-7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2188572,,,,,,,,,,,,8.01,,,0.573211293,21.04521626,4589.14425,,
,,MD,Limestone,,-5.83,-7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3941308,,,,,,,,,,,,1.54,,,0.838474105,16.95416616,1289.452406,,
,,MD,Limestone,,-6.72,-6.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0197574,,,,,,,,,,,,3.77,,,0.692892935,14.57567706,2702.7163,,
,,MD,Limestone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1777989,,,,,,,,,,,,3.82,,,0.717654472,14.54331811,2648.591356,,
,,MD,Limestone,,-7.42,-7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2000944,,,,,,,,,,,,4.80,,,0.714993134,16.12331626,3428.711772,,
,,MD,Limestone,,-5.43,-7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4639589,,,,,,,,,,,,1.37,,,0.954389192,16.95089375,1304.131014,,
,,MD,Limestone,,-6.04,-7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3077321,,,,,,,,,,,,1.28,,,0.890362387,10.09562777,1140.164067,,
,,MD,Dolostone,,-0.66,-6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8286792,,,,,,,,,,,,13.08,,,0.298426189,1000.003237,3902.80009,,
,,MD,Dolostone,,1.97,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6932992,,,,,,,,,,,,3.71,,,0.291670802,1022.858406,1081.64826,,